세그먼트,class_id,운동종목,선호점수비율,클래스참여율,세그먼트참여율,Lift,참여가중인원
성인_여성,성인_여성_LC1,보디빌딩(헬스),13.9871,18.6306,12.4661,1.4945,205.6235
성인_여성,성인_여성_LC1,"수영+아쿠아로빅, 수중발레+수구",10.4991,14.5115,10.4336,1.3908,160.1615
성인_여성,성인_여성_LC1,배드민턴,3.7255,5.7679,6.0524,0.953,63.6597
성인_여성,성인_여성_LC1,"체조(맨손체조, 생활체조)",3.1885,5.3088,5.8266,0.9111,58.5926
성인_여성,성인_여성_LC1,"달리기(조깅, 마라톤 포함)",2.7213,5.0939,4.9232,1.0347,56.2209
성인_여성,성인_여성_LC1,등산,2.6724,5.3624,7.8139,0.6863,59.1845
성인_여성,성인_여성_LC1,댄스스포츠,2.0568,2.9086,2.0325,1.431,32.1022
성인_여성,성인_여성_LC1,줄넘기,1.8692,2.9422,3.4779,0.846,32.4732
성인_여성,성인_여성_LC1,골프,1.7867,2.8331,4.2005,0.6745,31.2686
성인_여성,성인_여성_LC1,[무도/격투기] 그 외 종목,1.7759,2.3532,1.2647,1.8607,25.9721
성인_여성,성인_여성_LC1,테니스+정구,1.6943,2.2415,1.8067,1.2407,24.7393
성인_여성,성인_여성_LC1,에어로빅,1.5627,2.2525,1.4905,1.5112,24.861
성인_여성,성인_여성_LC1,탁구,1.4445,1.9942,1.7615,1.1321,22.0093
성인_여성,성인_여성_LC1,"자전거, 사이클, 산악자전거",1.223,2.1982,2.981,0.7374,24.2611
성인_여성,성인_여성_LC1,훌라후프,1.0634,1.9814,2.6649,0.7435,21.8688
성인_여성,성인_여성_LC1,[구기 및 라켓류] 그 외 종목,0.9958,1.7635,2.3939,0.7367,19.4636
성인_여성,성인_여성_LC1,암벽등반,0.4,0.678,0.4968,1.3646,7.4831
성인_여성,성인_여성_LC1,농구,0.3123,0.4328,0.813,0.5324,4.7771
성인_여성,성인_여성_LC1,[체력 단련 및 생활 운동] 그 외 종목,0.1667,0.3042,0.3162,0.9622,3.3577
성인_여성,성인_여성_LC1,족구,0.1089,0.1617,0.271,0.5965,1.7842
성인_여성,성인_여성_LC1,"축구, 풋살",0.0831,0.1302,0.4517,0.2882,1.4368
성인_여성,성인_여성_LC1,배구,0.0791,0.1012,0.4517,0.224,1.1168
성인_여성,성인_여성_LC1,야구+소프트볼,0.0659,0.0889,0.2258,0.3937,0.9813
성인_여성,성인_여성_LC1,[레저 스포츠] 그 외 종목,0.0626,0.1201,0.4517,0.266,1.3259
성인_여성,성인_여성_LC1,낚시,0.048,0.1106,0.1807,0.612,1.2204
성인_여성,성인_여성_LC1,승마,0.0276,0.0528,0.0903,0.5842,0.5825
성인_여성,성인_여성_LC1,게이트볼,0.0065,0.0091,0.0903,0.1009,0.1006
