이름,자치구,위도,경도
남산케이블카.남산산책로입구,중구,37.5552651842,126.9839798009
동대입구역.장충동,중구,37.558362,127.005445
약수역10번출구,중구,37.556256,127.009322
청계1가.광교,중구,37.5685707852,126.9833922386
청계2가.삼일교,중구,37.5678404706,126.9885301722
청계4가.배오개다리,중구,37.5684843738,126.9971755363
청계5가.방산시장,중구,37.5692149555,127.0008265972
청계6가.평화시장,중구,37.5694411915,127.0043806283
청계7가.동평화.청평화시장,중구,37.5695135434,127.0138508174
청계8가.영도교,중구,37.5707259153,127.0189971981
신한은행본점,중구,37.5611965482,126.975585201
퇴계로2가.명동역7번출구,중구,37.560988,126.985336
광희동.동대문역사문화공원역,중구,37.5654113309,127.0091092289
다산동.버티고개역1번출구,중구,37.5478041512,127.0060242348
버티고개역.남산타운아파트,중구,37.547650494,127.0061899379
청계3가.관수교,중구,37.5682134567,126.9929650755
청계6가.오간수교,중구,37.5694851752,127.0090361408
충무로역7번출구,중구,37.561690572,126.9933889105
을지로입구역.광교,중구,37.5676492567,126.9825656304
청계광장,중구,37.569011,126.978207
신당파인힐하나유보라,중구,37.5649809794,127.0248560363
명동입구,중구,37.5647227393,126.982474445
남산북측순환로입구,중구,37.5506986166,126.9988218165
금호중학교.신당동삼성아파트,중구,37.5585545048,127.0187298806
금호중학교.신당푸르지오아파트,중구,37.5578078339,127.019288178
황학동주민센터,중구,37.5668556166,127.0234023516
신당초등학교앞,중구,37.5644813411,127.0239172657
신당래미안하이베르.금호베스트빌,중구,37.5616452068,127.0240513307
금호베스트빌.신당래미안하이베르,중구,37.5622544456,127.0243472269
신당초등학교,중구,37.5645028357,127.024240415
방산종합시장,중구,37.5678058693,127.0019301271
황학동롯데캐슬,중구,37.5716601701,127.0220339686
광희문.광희동사거리,중구,37.5645499236,127.0086110484
광희문.광희동사거리,중구,37.5644016142,127.009677887
황학동롯데캐슬,중구,37.5708197498,127.0232958633
한국은행앞,중구,37.561408112,126.9792899798
서울기동대.광희초등학교,중구,37.5679222068,127.0144829458
동대문역사문화공원동문,중구,37.567700749,127.0119962039
서대문역사거리.농협중앙회,중구,37.5668848609,126.9679802656
서울역9번출구.서울스퀘어빌딩앞,중구,37.555341632,126.97323173
북창동.남대문시장,중구,37.5608462911,126.9769187336
남산공원.구힐튼호텔,중구,37.5563677408,126.976567168
남산공원.구힐튼호텔,중구,37.5566267411,126.9767113404
시청앞.덕수궁,중구,37.5662122834,126.9768355729
남대문세무서.국가인권위원회,중구,37.5650839621,126.987866112
장충문화체육센터.권기옥활동터,중구,37.5601745008,127.0025921056
남산1호터널,중구,37.5574051765,126.9921666231
남산예장버스환승주차장,중구,37.55974,126.989289
약수역.3.6호선,중구,37.5533046573,127.011705637
조선일보,중구,37.5687339805,126.976883066
시청역,중구,37.566031,126.97701
서울역,중구,37.5581897679,126.9714245129
숭례문앞,중구,37.5615164368,126.976236105
시청역1호선.서울시청,중구,37.5673960903,126.977339075
신당역하나은행,중구,37.5654231103,127.0215878668
염천교,중구,37.5597925744,126.9711136524
한국경제신문사,중구,37.5609334062,126.9679526472
서울방송고등학교.남산타운아파트,중구,37.5495860191,127.012409789
서울방송고등학교.남산타운아파트,중구,37.5496119425,127.0122783521
중구청소년센터.남산타운2상가,중구,37.5516549062,127.012751162
중구청소년센터.남산타운2상가,중구,37.5519027425,127.0121655599
약수시장.남산타운동문,중구,37.5517332168,127.0108500123
약수지구대,중구,37.5528410964,127.0119577646
남대문시장,중구,37.5614284556,126.979397311
을지로입구역롯데호텔,중구,37.5658047183,126.9803053067
소공동웨스틴조선호텔,중구,37.5645178283,126.9796461336
서울광장,중구,37.565352,126.978885
광화문코리아나호텔,중구,37.5684013914,126.97690745
