이름,자치구,위도,경도
수정슈퍼,관악구,37.4898025437,126.9421010465
현대시장,관악구,37.4870735721,126.9469475848
벽산아파트,관악구,37.4922931588,126.9438938598
두영아파트,관악구,37.474298874,126.9137749689
삼성산주공정문,관악구,37.480443,126.914873
서울대입구역2호선,관악구,37.4824664116,126.9538359816
제일교회입구,관악구,37.4745263191,126.9220871034
GS편의점,관악구,37.4785696861,126.9307709276
오리사랑,관악구,37.4737417629,126.9668389441
서울관광고등학교,관악구,37.4890752374,126.9418663911
구암초등학교정문,관악구,37.4881663803,126.9464345431
현대홈타운아파트,관악구,37.47934,126.963367
미성중학교,관악구,37.4755708036,126.9131844409
삼성산주공307동앞,관악구,37.4617159167,126.9273354547
관악프라자,관악구,37.4835760192,126.954733128
남강중고등학교입구,관악구,37.4741455935,126.9213944256
동산교회,관악구,37.4790806784,126.9298664772
인헌연세약국,관악구,37.4750663629,126.9667445158
산성교회,관악구,37.4886722866,126.9415478054
관악센트씨엘정문,관악구,37.4899711367,126.9460928644
낙성대역,관악구,37.4777900122,126.9624207194
라이프아파트,관악구,37.4771733447,126.9136959114
2단지종합상가,관악구,37.4635774095,126.9263183097
애동유치원,관악구,37.4742691695,126.9202354038
서강약국,관악구,37.4794709098,126.9281244578
인헌시장입구,관악구,37.47542833,126.9657720013
경천교회,관악구,37.4880274638,126.9404796696
대학원생활관,관악구,37.4623361202,126.9573923129
성현동주민센터,관악구,37.489861,126.947285
사랑의병원,관악구,37.4796244089,126.9564304426
신림고등학교,관악구,37.4776805895,126.9160901041
203동앞,관악구,37.4644446975,126.9264976658
관악로입구,관악구,37.4862759617,126.9577948573
세이브마트,관악구,37.4741762919,126.918818829
동부아파트,관악구,37.4813012413,126.9284313945
파리바게트.낙성대지하철,관악구,37.4761438371,126.964376791
국회단지입구,관악구,37.4865995241,126.9393194579
학부생활관,관악구,37.4637506192,126.9580724931
구암어린이집.관악센트씨엘108동,관악구,37.4909558362,126.9476358057
낙성대역,관악구,37.4778756928,126.9626592502
난곡터널,관악구,37.4779795626,126.9183861861
광신고등학교.주공1단지,관악구,37.4660286495,126.927107173
우성아파트103동,관악구,37.4860917446,126.9592457839
난우초등학교,관악구,37.475947114,126.917730357
삼모타워앞.건강보험관악지사,관악구,37.482525,126.928399
인헌초등학교,관악구,37.4769842505,126.962192055
은천교앞,관악구,37.4864003668,126.9358819578
BK국제관,관악구,37.4654239013,126.9578693178
관악드림타운2단지,관악구,37.4917149515,126.9470590155
현대홈타운아파트,관악구,37.4791296644,126.9634796509
갑을아파트,관악구,37.4897535048,126.9220551526
신원동치안센터,관악구,37.4790908751,126.9270325662
유완약국.성림교회,관악구,37.4668169248,126.9300505356
행운동우성아파트109동앞,관악구,37.4852903366,126.9612178671
신림고등학교,관악구,37.4778966436,126.9160754865
낙성대입구,관악구,37.4778081338,126.9599795717
신림성모성당앞,관악구,37.4870744065,126.9326664612
가족생활동,관악구,37.4669767456,126.9577737723
롯데백화점,관악구,37.4904278745,126.9244827354
삼성전자,관악구,37.4676943096,126.931084151
신림청소년독서실.신림체육센터,관악구,37.4804996928,126.9148759246
샤로수길입구,관악구,37.4787543427,126.9575345056
관악우체국,관악구,37.4851431932,126.9341383461
신림고등학교,관악구,37.4779810811,126.9168167167
신림사거리.신원시장,관악구,37.483709205,126.9273005902
삼성동시장,관악구,37.4692039821,126.931631082
난곡사거리,관악구,37.4823011931,126.9144634448
신림역,관악구,37.4854883196,126.9296506944
인헌아파트,관악구,37.468020748,126.9612871638
서울대벤처타운역.삼성동시장입구,관악구,37.4718550422,126.9332126245
동부아파트,관악구,37.4813200328,126.9282142759
낙성대역,관악구,37.4763210574,126.9648557613
당곡역.당곡사거리,관악구,37.4887310522,126.9287658216
서울융합과학교육원,관악구,37.4687224889,126.9579991818
은천교입구,관악구,37.4868362979,126.9342753266
은천교입구,관악구,37.4869017998,126.9341378486
삼성아파트,관악구,37.4945772872,126.9273819286
조원경로당,관악구,37.4835391709,126.9082699572
서강약국,관악구,37.4794735167,126.9279661565
인헌연세약국,관악구,37.4748483171,126.9668226263
낙성대공원.다시가는캠퍼스,관악구,37.4722000954,126.958771496
신도브래뉴.구펭귄아파트,관악구,37.4842112876,126.9110454762
동산교회,관악구,37.4788823374,126.9299348441
오리사랑,관악구,37.4736845489,126.9666847747
봉일시장,관악구,37.4861888116,126.9386238431
낙성대입구,관악구,37.4787451506,126.9595878517
낙성대현대아파트,관악구,37.474872947,126.9591501194
성지빌딩,관악구,37.4786931419,126.931006962
펭귄시장,관악구,37.4835748049,126.9123577828
동인약국.인헌중고입구,관악구,37.4719152228,126.966851057
국회단지입구,관악구,37.486535598,126.9394212827
인헌초등학교,관악구,37.4765877555,126.959159362
난곡사거리,관악구,37.4825153663,126.9140640456
우리현대마트,관악구,37.4711205873,126.967356777
경천교회,관악구,37.4879473031,126.9405543681
낙성대입구,관악구,37.4775168997,126.9594607468
신림체육센터,관악구,37.4810130771,126.914599382
서림동주민센터,관악구,37.4748531074,126.9349782707
인수당약국,관악구,37.4704430749,126.9677946019
산성교회,관악구,37.4885912136,126.9416010182
신원동치안센터,관악구,37.4792256381,126.9262096749
현대아파트109동,관악구,37.4748734803,126.9333136025
개미유통,관악구,37.4699868514,126.9668428641
서울관광고등학교,관악구,37.4890410488,126.9419749791
낙성대역,관악구,37.4770791769,126.9619751956
서울대호암교수회관,관악구,37.4677295812,126.9583174158
관악세무서,관악구,37.4791096883,126.9245139173
난우초등학교,관악구,37.4764738791,126.9171836708
현대아파트106동,관악구,37.4750977377,126.9325313553
세진아파트,관악구,37.46963157,126.965980406
수정슈퍼,관악구,37.489563775,126.9421498576
낙성대입구,관악구,37.4775942987,126.9591814277
구로디지털단지역,관악구,37.4837225722,126.9029063887
구로디지털단지역,관악구,37.4843694138,126.9058131587
난곡터널,관악구,37.4783629038,126.9192914361
난곡종점,관악구,37.4641111686,126.9192841509
세이브마트,관악구,37.4742473112,126.9185745369
봉천역,관악구,37.4835908978,126.94142738
은천아파트,관악구,37.469304232,126.9651699485
우리슈퍼,관악구,37.4901513787,126.9423212961
인헌초등학교,관악구,37.4765250104,126.9589641387
서울대벤처타운역.삼성동시장입구,관악구,37.4716882063,126.9329810024
애동유치원,관악구,37.4741556134,126.9202106507
인헌아파트,관악구,37.4682591544,126.9616844863
롯데백화점관악점,관악구,37.4897440967,126.9249187647
롯데백화점관악점,관악구,37.4900916551,126.9259813186
신림역,관악구,37.4844981452,126.9329881668
신림역,관악구,37.484581,126.930756
봉천역,관악구,37.4819948162,126.9441414845
봉천역,관악구,37.4827120941,126.9415037433
서울대입구역,관악구,37.4815931763,126.9514280486
신림2동차고지,관악구,37.470982,126.938321
신림2동차고지,관악구,37.4709277562,126.9387687412
벽산아파트후문.만물슈퍼,관악구,37.4910691188,126.9418590704
낙성대현대아파트,관악구,37.4744250546,126.9590657284
사당역4번출구A,관악구,37.4750015212,126.9814839831
사당역4번출구B,관악구,37.4748085963,126.9815172875
봉천역,관악구,37.4833341181,126.9417119782
관악센트씨엘후문,관악구,37.491838,126.946872
라이프아파트,관악구,37.4771669403,126.9135636303
삼성동시장,관악구,37.4691600126,126.9314562928
남강중고등학교입구,관악구,37.4740843566,126.9214521515
은천아파트,관악구,37.4691834753,126.9651417407
낙성대공원.다시가는캠퍼스,관악구,37.472483,126.958598
구암어린이집.관악센트씨엘108동,관악구,37.4910852873,126.9475270007
미성중학교,관악구,37.4756040638,126.9130747297
삼성전자,관악구,37.467907393,126.9310872264
제일교회입구,관악구,37.4744767955,126.9221436863
세진아파트,관악구,37.469516228,126.9659793277
서울융합과학교육원,관악구,37.4695643624,126.9579844634
성현동주민센터,관악구,37.4900204503,126.9479869626
두영아파트,관악구,37.4743494227,126.9136488581
유완약국.성림교회,관악구,37.4669079232,126.9300278405
충남슈퍼.생각대로통신,관악구,37.4748593293,126.922852198
개미유통,관악구,37.4698796222,126.966851956
호암교수회관,관악구,37.4684563846,126.9583384812
현대시장,관악구,37.4872239236,126.9466523339
신라놀이터,관악구,37.4733130222,126.9124928566
광신고등학교.주공1단지,관악구,37.4655416947,126.9268060717
한마음슈퍼,관악구,37.4752553681,126.9235493967
소망유통,관악구,37.4694700428,126.9684009967
두산아파트,관악구,37.4847359856,126.9466789803
쌍용아파트후문,관악구,37.4727366024,126.9116693186
201동.동신교회,관악구,37.4642155732,126.9258566348
승산밝은빛교회.구무림비디오,관악구,37.4756424004,126.9242601797
군인아파트,관악구,37.4689672354,126.9686942163
호암교수회관,관악구,37.4682578356,126.957812806
신협,관악구,37.4832139179,126.9464550405
뉴서울아파트,관악구,37.4715124546,126.9110760714
3단지종합상가,관악구,37.4632446739,126.9266500465
보명사.법화사,관악구,37.4759816008,126.9248624752
가족생활동,관악구,37.4663611632,126.9576895289
봉천역6번출구,관악구,37.4832131411,126.9435328569
아카시아마을.민방위교육장,관악구,37.4720991366,126.9111579098
삼성산주공307동앞,관악구,37.4618249334,126.9273070883
서울대후문.연구공원,관악구,37.4651042841,126.9577778409
봉천역4번출구,관악구,37.4835860833,126.9415256749
삼성산주공아파트정문,관악구,37.4612183906,126.9257024646
학부생활관,관악구,37.4631418278,126.957717428
대학원생활관,관악구,37.461972752,126.9567820806
기숙사삼거리,관악구,37.4604637077,126.9567660056
제2파워플랜트,관악구,37.449338,126.949695
건설환경종합연구소,관악구,37.4471691607,126.9497986982
보라매노인복지회관,관악구,37.492677921,126.9258907075
신한은행앞.롯데백화점,관악구,37.49052084,126.9243299957
벽산아파트,관악구,37.4923224192,126.9437182326
적십자센터,관악구,37.4930089788,126.9463609225
봉림교,관악구,37.4836879715,126.9269360965
서원치안센터.건강보험관악지사,관악구,37.4819928275,126.9291589334
노천강당,관악구,37.4587949022,126.9553279623
신림역4번출구,관악구,37.484025,126.92886
행정관,관악구,37.461591,126.95022
서원역2번출구.서원동성당앞,관악구,37.4778363867,126.9344657489
신림복지관앞,관악구,37.4653036588,126.9197650564
