주차장명,구분,구획수,평일시작,평일종료,요금정보,기본시간,기본요금,장애인주차구역,위도,경도,주소,자치구
난곡마당공영주차장,공영,41,00:00,23:59,유료,0.0,0.0,N,37.46754161,126.9225532,서울특별시 관악구 난곡로24바길 16,관악구
난곡동제2공영주차장,공영,6,00:00,23:59,유료,0.0,0.0,N,37.47016608,126.9178922,서울특별시 관악구 난곡로31길 45,관악구
남현동제2공영주차장,공영,26,00:00,23:59,유료,0.0,0.0,N,37.4756463,126.9771048,서울특별시 관악구 남현길 22,관악구
인헌동제2공영주차장,공영,7,00:00,23:59,유료,0.0,0.0,N,37.47106455,126.9697838,서울특별시 관악구 인헌17길 34,관악구
인헌동제1공영주차장,공영,6,00:00,23:59,유료,0.0,0.0,N,37.473655,126.9672678,서울특별시 관악구 인헌길 33-12,관악구
미성동제3공영주차장,공영,15,00:00,23:59,유료,0.0,0.0,N,37.47565502,126.9157498,서울특별시 관악구 난곡로41길 12,관악구
미성동제2공영주차장,공영,21,00:00,23:59,유료,0.0,0.0,N,37.4797444,126.9141902,서울특별시 관악구 난곡로63가길 30,관악구
미성동제1공영주차장,공영,5,00:00,23:59,유료,0.0,0.0,N,37.47957874,126.9157042,서울특별시 관악구 난곡로64가길 39,관악구
대학동제1공영주차장,공영,5,00:00,23:59,유료,0.0,0.0,N,37.46590801,126.9392301,서울특별시 관악구 신림로11길 109-7,관악구
조원동제3공영주차장,공영,17,00:00,23:59,유료,0.0,0.0,N,37.48299189,126.9043887,서울특별시 관악구 조원로4길 8,관악구
난향동제1공영주차장,공영,12,00:00,23:59,유료,0.0,0.0,N,37.45997373,126.9150699,서울특별시 관악구 난향9길 73,관악구
신사동제3공영주차장,공영,12,00:00,23:59,유료,0.0,0.0,N,37.48397331,126.9179928,서울특별시 관악구 남부순환로155길 22,관악구
신사동제2공영주차장,공영,18,00:00,23:59,유료,0.0,0.0,N,37.48388151,126.9199755,서울특별시 관악구 남부순환로159길 11,관악구
모래내공원공영주차장,공영,72,00:00,23:59,유료,2.0,250.0,Y,37.4779002115,126.9554032,서울특별시 관악구 관악로12길 55,관악구
은천동공영주차장,공영,21,00:00,23:59,유료,5.0,150.0,Y,37.48705374,126.9415965,서울특별시 관악구 국회단지4길 32,관악구
난향공영주차장,공영,22,00:00,23:59,유료,0.0,0.0,Y,37.46205365,126.9155924,서울특별시 관악구 난향7길 14,관악구
남현소공원공영주차장,공영,97,00:00,23:59,유료,5.0,400.0,Y,37.47567778,126.9792771,서울특별시 관악구 남현1길 28,관악구
난곡스마트공영주차장,공영,117,00:00,23:59,유료,5.0,50.0,Y,37.46906095,126.9242983,서울특별시 관악구 난곡로26길 94,관악구
삼성동제2공영주차장,공영,70,00:00,23:59,유료,0.0,0.0,Y,37.46411875,126.933436,서울특별시 관악구 호암로16길 36,관악구
관악초공영주차장,공영,151,00:00,23:59,유료,5.0,250.0,Y,37.481026,126.942554,서울특별시 관악구 청룡4길 49,관악구
민방위교육장공영주차장,공영,42,00:00,23:59,유료,5.0,50.0,N,37.469348,126.911268,서울특별시 관악구 문성로16다길 135,관악구
남부초공영주차장,공영,134,00:00,23:59,유료,5.0,150.0,Y,37.485119,126.922184,서울특별시 관악구 남부순환로163길 14,관악구
당곡중공영주차장,공영,159,00:00,23:59,유료,5.0,50.0,Y,37.492357,126.932678,서울특별시 관악구 봉천로 13길 101,관악구
신림동제1공영주차장,공영,187,00:00,23:59,유료,5.0,250.0,Y,37.487364,126.923465,서울특별시 관악구 관천로 98,관악구
미성동제4공영주차장,공영,79,00:00,23:59,유료,0.0,0.0,Y,37.476383,126.919922,서울특별시 관악구 난우10가길 2,관악구
난우중공영주차장,공영,71,00:00,23:59,유료,0.0,0.0,Y,37.466806,126.9228283,서울특별시 관악구 난곡로 16길 32,관악구
난곡동제1공영주차장,공영,119,00:00,23:59,유료,5.0,50.0,Y,37.47221023,126.9231529,서울특별시 관악구 난곡로 34길 71,관악구
신사동제1공영주차장,공영,41,09:00,16:00,유료,5.0,50.0,Y,37.48444806,126.915444,서울특별시 관악구 남부순환로 153길 51,관악구
보라매제1공영주차장,공영,131,00:00,23:59,유료,5.0,50.0,Y,37.488508,126.934495,서울특별시 관악구 봉천로 21길 38,관악구
원신공영주차장,공영,172,00:00,23:59,유료,5.0,50.0,Y,37.470107,126.929213,서울특별시 관악구 양지길 63,관악구
조원동제1공영주차장,공영,108,00:00,23:59,유료,5.0,250.0,Y,37.481073,126.905712,서울특별시 관악구 조원중앙로2길 19,관악구
행운동제1공영주차장,공영,141,00:00,23:59,유료,5.0,150.0,Y,37.479744,126.960471,서울특별시 관악구 행운4길 21,관악구
신원동제1공영주차장,공영,23,00:00,23:59,유료,0.0,0.0,N,37.48306952,126.9252104,서울특별시 관악구 남부순환로172길 13,관악구
