기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수,자치구
20260715,7,483080.8892,10671.9327,5168.6488,9830.4216,21745.3716,33200.1199,26553.9992,24228.8795,18277.4914,19282.5835,15905.2567,14561.6358,10592.9287,7310.3675,16726.6399,10381.7348,5061.1732,10755.0332,28389.8584,36212.0674,25526.5002,21285.6734,16173.8312,16684.9431,14294.4576,15226.5157,12192.2804,9618.771,27221.7669,관악구
20260715,8,315941.6352,4400.3059,1656.6332,4000.3522,5986.7596,11271.093,14711.3506,19124.8402,19632.5476,20928.7115,17453.4905,14862.2713,8469.9981,5350.6995,9867.5369,4701.848,2214.0314,5144.4271,10294.1682,17407.1722,17168.4734,18859.7235,16388.7536,15618.3621,12147.6549,10898.4398,7999.513,5544.4791,13838.0028,중구
20260715,8,449244.4296,10608.119,5234.7318,9792.8323,20962.3826,28815.6167,23076.1514,22042.8451,17038.9468,18335.2346,15212.8341,14303.6983,10334.6018,7071.1629,16253.5548,10116.3551,4961.6646,10706.5318,26023.7067,30285.5003,21764.7842,19149.5527,15138.6725,15758.9861,13812.1695,14583.1062,11666.4498,9358.2169,26836.0234,관악구
20260715,9,366342.1975,4527.8091,1665.2213,4263.6517,6628.2436,13053.449,16734.784,22345.0395,22569.9225,24069.9502,19379.1326,16736.048,9617.0014,6024.3045,11296.0158,4561.7494,2163.5699,5411.0488,12180.1861,21044.058,20510.5166,22990.8387,19782.8454,19167.7981,14668.6574,13061.0526,9657.5514,6598.0936,15633.6608,중구
20260715,9,425971.6471,10475.3717,5184.3474,9877.7834,20173.4553,26027.7858,20789.1481,20465.774,16639.0995,18117.7024,14795.391,14044.1193,10248.3841,7060.7458,16089.5345,9936.9398,4870.1037,10747.2401,24156.3904,25498.4649,19025.3286,17582.9724,14492.8448,15336.0277,13478.5428,14008.3098,11415.1713,9154.7863,26279.8834,관악구
20260715,10,391986.2523,4622.3377,1704.8975,4374.0249,7198.1968,13981.0695,17709.6037,23438.4832,23814.7104,24881.6123,20282.642,17473.7833,10311.6417,6523.4743,12719.6693,4766.8604,2255.63,5735.1101,13147.3667,22243.2322,21912.8,24843.5466,21192.3349,20745.3373,15956.5347,14466.7038,10762.2446,7421.5871,17500.8156,중구
20260715,10,416882.5532,10473.1328,5188.1597,10039.1483,19901.8116,25118.8828,19955.9359,19814.7169,16107.5859,17964.1231,14610.3344,13916.4868,10133.0574,7090.1801,15984.6436,9849.1278,4846.5257,10620.1991,23353.2501,23949.2582,17910.6974,17213.5174,14235.9187,15213.3516,13350.9185,13893.4419,11238.2785,8942.955,25966.9127,관악구
20260715,11,412979.7384,4571.9427,1686.2303,4460.0214,7786.449,14495.7657,18358.5312,24392.337,24756.8387,26045.9593,21756.4565,18360.0551,10977.4023,6923.7383,13600.5271,4782.7699,2261.8776,6072.9038,14015.1573,23276.6551,22940.8451,26257.6982,22451.01,22095.4512,16674.7875,15368.8219,11488.3886,8065.3264,19055.7882,중구
20260715,11,412386.0446,10587.8082,5234.0098,10253.2419,19762.3192,24542.2579,19351.5593,19361.1793,16126.4451,17567.4663,14319.2571,13792.2135,10133.7463,7010.9363,15950.894,10104.2793,4946.2073,10643.6971,22851.8442,22958.1808,17453.1525,16949.8031,14163.0917,15189.4612,13171.208,13765.8168,11297.5855,8919.2654,25979.1209,관악구
20260715,12,424699.1442,5141.4097,1818.922,4509.1346,7992.1679,15103.5456,18782.4666,25120.3143,25167.7999,26300.0596,21997.9137,18882.8179,11267.2318,7220.5598,14420.4636,4378.0964,2034.8618,5952.282,15046.4442,24209.3267,23443.2863,26996.4383,23070.0294,22720.8353,17368.7737,15746.8435,11748.4889,8284.9873,19973.6462,중구
20260715,12,408067.3356,10709.4069,5286.2255,10242.4888,19433.5603,23921.3846,18944.6133,18984.6287,16090.5461,17168.6305,14420.6583,13826.8918,10256.4462,7145.729,16097.2628,10010.2549,4897.7141,10667.4549,22266.3285,22316.0018,17032.9488,16453.0968,14008.8731,15179.8712,12988.7031,13719.2774,11201.0755,8894.5367,25902.7227,관악구
20260715,13,430486.4414,5263.677,1786.8683,4534.4501,8525.399,15440.5179,19078.3805,25618.5721,25237.89,26686.7339,22081.3601,19084.4646,11374.9788,7261.5904,14658.6604,4053.6307,1876.0589,6180.9556,16068.6424,24776.6426,23811.0023,27451.6068,23076.9977,22719.4886,17354.4895,15955.6581,12027.1301,8367.5952,20132.9963,중구
20260715,13,402667.4468,10303.9637,5095.2832,9904.2784,19155.863,23681.9804,18597.5954,18983.7941,16223.8557,16995.4272,14415.8155,13768.7062,10178.1038,6996.0069,16166.6768,10003.0031,4889.7311,10133.9523,21498.5314,21643.8433,16517.2421,16334.1841,13965.4666,14861.6753,12966.1379,13592.0501,11084.9452,8883.435,25825.9063,관악구
20260715,14,429985.6938,4261.502,1620.8423,4351.5398,8746.8652,15567.4095,19041.9788,25454.0655,25448.4688,26830.5486,22213.8519,19327.4793,11313.1959,7171.0027,14246.2322,4143.5775,1891.663,6296.7242,16958.8129,25112.5886,23845.8609,27168.2095,23010.0053,22655.5757,17626.5774,16159.7019,11862.6586,8152.2498,19506.5069,중구
20260715,14,400799.3648,10612.0102,5225.3243,9538.5877,18985.4047,23566.4885,18601.5451,18735.3533,16150.3976,16993.7542,14495.5273,13649.4728,10201.6078,6981.9616,16359.5302,10020.9539,4898.7688,9747.4282,21129.5021,21239.3392,16310.7365,16220.739,13854.0858,14716.0356,12882.9554,13634.3429,11050.2594,8880.8495,26116.4062,관악구
20260715,15,417416.4079,4075.6636,1630.2522,4038.4577,8776.442,15410.3905,18859.2713,25069.1788,25148.2122,26653.198,22010.8199,18704.2316,11079.429,6896.5606,13318.19,3707.4686,1655.1346,5707.4777,17189.7236,24936.34,23638.6846,26320.1234,22384.2793,22123.7877,17122.2839,15395.6081,11142.5225,7263.4879,17159.1844,중구
20260715,15,400962.6299,10627.3783,5183.3803,9285.1738,18698.6557,23427.3543,18586.38,18812.743,16101.4557,17024.721,14441.0577,13650.5627,10165.1542,6899.977,16428.1267,9861.5659,4820.6128,9472.7607,20766.2198,21367.6774,16407.2241,16175.93,13894.5695,14568.0751,13123.0777,13764.9079,11197.9661,9240.7497,26969.1748,관악구
20260715,16,397038.2543,4121.3435,1650.7133,3661.3652,8839.0689,15087.5077,18594.6247,24038.8497,24206.2201,25440.6718,20651.6471,17418.1382,10432.8432,6447.2322,12270.9917,3389.9762,1474.2164,5437.0333,17327.6233,24713.397,22811.8627,25019.813,21340.5625,20818.6481,15958.9435,14176.9384,9964.2491,6524.9862,15218.7876,중구
