정류소번호,정류소명,경도,위도,정류소타입,자치구
101000086,신당동떡볶이타운.중구여성플라자,127.0151908517,37.5623100443,일반차로,중구
101000087,청구초등학교.청구역,127.0132161263,37.5589483023,일반차로,중구
101000088,장충초등학교.청구역,127.0130316796,37.559257398,일반차로,중구
101000089,약수역2번출구.가온도서관,127.0110429415,37.5557929112,일반차로,중구
101000090,약수역3번출구.약수하이츠,127.0113796895,37.5557496102,일반차로,중구
101000091,약수역4번출구.금호터널입구,127.012012,37.553399,일반차로,중구
101000092,약수역5번출구.금호터널입구,127.0118693353,37.55292373,일반차로,중구
101000093,약수역8번출구.신당사회복지관,127.0099566945,37.5538646495,일반차로,중구
101000094,약수역7번출구.약수동주민센터,127.0092978444,37.5528509718,일반차로,중구
101000095,송도병원,127.0077186988,37.5502676468,일반차로,중구
101000096,송도병원건너,127.0073984027,37.550227118,일반차로,중구
101000294,약수역1번출구,127.009755648,37.556252533,일반차로,중구
101000097,장충체육관앞,127.0080610837,37.5583362176,일반차로,중구
101000098,장충체육관앞,127.0078281581,37.5580017329,일반차로,중구
101000099,장충동.동국대입구,127.00590981,37.560621324,일반차로,중구
101000100,장충동.동국대입구,127.0056290943,37.5606663921,일반차로,중구
101000101,퇴계로6가,127.0039011095,37.5634011312,일반차로,중구
101000102,퇴계로6가.광희동주민센터,127.00337576,37.5635284386,일반차로,중구
101000103,퇴계로5가.충무초등학교,126.9999660413,37.5623804057,일반차로,중구
101000104,퇴계로5가.중구청,126.9997252277,37.5627804223,일반차로,중구
101000105,국립극장.반얀트리호텔,127.001094708,37.551481823,일반차로,중구
101000106,국립극장.반얀트리호텔,127.0007525635,37.5515339575,일반차로,중구
101000107,청구역2번출구.흥인초등학교,127.014656108,37.5599600605,일반차로,중구
101000108,청구역3번출구,127.014219181,37.5599303778,일반차로,중구
101000109,동화동.청구이편한세상,127.018125822,37.5600244709,일반차로,중구
101000110,청구동.신당동삼성아파트,127.0182736903,37.5598126778,일반차로,중구
101000111,백범광장,126.980093,37.555737,일반차로,중구
101000113,남대문경찰서.서울역10번출구,126.9738404394,37.554128189,일반차로,중구
101000114,남대문시장앞.이회영활동터,126.978580386,37.5609394169,가로변시간,중구
101000115,남산케이블카.남산산책로입구,126.9839798009,37.5552651842,일반차로,중구
101000117,동대입구역.장충동,127.005445,37.558362,일반차로,중구
101000295,약수역10번출구,127.009322,37.556256,일반차로,중구
101000119,청계1가.광교,126.9833922386,37.5685707852,일반차로,중구
101000120,청계2가.삼일교,126.9885301722,37.5678404706,일반차로,중구
101000121,청계4가.배오개다리,126.9971755363,37.5684843738,일반차로,중구
101000122,청계5가.방산시장,127.0008265972,37.5692149555,일반차로,중구
101000123,청계6가.평화시장,127.0043806283,37.5694411915,일반차로,중구
101000124,청계7가.동평화.청평화시장,127.0138508174,37.5695135434,일반차로,중구
101000125,청계8가.영도교,127.0189971981,37.5707259153,일반차로,중구
101000128,신한은행본점,126.975585201,37.5611965482,일반차로,중구
101000335,퇴계로2가.명동역7번출구,126.985336,37.560988,일반차로,중구
101000130,광희동.동대문역사문화공원역,127.0091092289,37.5654113309,일반차로,중구
101000131,다산동.버티고개역1번출구,127.0060242348,37.5478041512,일반차로,중구
101000132,버티고개역.남산타운아파트,127.0061899379,37.547650494,일반차로,중구
101000135,청계3가.관수교,126.9929650755,37.5682134567,일반차로,중구
101000136,청계6가.오간수교,127.0090361408,37.5694851752,일반차로,중구
101000137,충무로역7번출구,126.9933889105,37.561690572,일반차로,중구
101000141,을지로입구역.광교,126.9825656304,37.5676492567,가로변시간,중구
101000338,청계광장,126.978207,37.569011,일반차로,중구
101000147,신당파인힐하나유보라,127.0248560363,37.5649809794,일반차로,중구
101000148,명동입구,126.982474445,37.5647227393,가로변전일,중구
101000149,남산북측순환로입구,126.9988218165,37.5506986166,일반차로,중구
101000150,금호중학교.신당동삼성아파트,127.0187298806,37.5585545048,일반차로,중구
101000151,금호중학교.신당푸르지오아파트,127.019288178,37.5578078339,일반차로,중구
101000152,황학동주민센터,127.0234023516,37.5668556166,일반차로,중구
101000153,신당초등학교앞,127.0239172657,37.5644813411,일반차로,중구
101000154,신당래미안하이베르.금호베스트빌,127.0240513307,37.5616452068,일반차로,중구
101000155,금호베스트빌.신당래미안하이베르,127.0243472269,37.5622544456,일반차로,중구
101000156,신당초등학교,127.024240415,37.5645028357,일반차로,중구
101000163,방산종합시장,127.0019301271,37.5678058693,일반차로,중구
101000164,황학동롯데캐슬,127.0220339686,37.5716601701,일반차로,중구
101000165,광희문.광희동사거리,127.0086110484,37.5645499236,일반차로,중구
101000166,광희문.광희동사거리,127.009677887,37.5644016142,일반차로,중구
101000168,황학동롯데캐슬,127.0232958633,37.5708197498,일반차로,중구
101000254,한국은행앞,126.9792899798,37.561408112,가로변시간,중구
101000258,서울기동대.광희초등학교,127.0144829458,37.5679222068,일반차로,중구
101000261,동대문역사문화공원동문,127.0119962039,37.567700749,일반차로,중구
101000262,서대문역사거리.농협중앙회,126.9679802656,37.5668848609,일반차로,중구
101000263,서울역9번출구.서울스퀘어빌딩앞,126.97323173,37.555341632,일반차로,중구
101000264,북창동.남대문시장,126.9769187336,37.5608462911,일반차로,중구
101000266,남산공원.구힐튼호텔,126.976567168,37.5563677408,일반차로,중구
101000265,남산공원.구힐튼호텔,126.9767113404,37.5566267411,일반차로,중구
101000290,시청앞.덕수궁,126.9768355729,37.5662122834,일반차로,중구
101000292,남대문세무서.국가인권위원회,126.987866112,37.5650839621,일반차로,중구
101000293,장충문화체육센터.권기옥활동터,127.0025921056,37.5601745008,일반차로,중구
101000328,남산1호터널,126.9921666231,37.5574051765,일반차로,중구
101000331,남산예장버스환승주차장,126.989289,37.55974,일반차로,중구
101900010,약수역.3.6호선,127.011705637,37.5533046573,마을버스,중구
101900009,조선일보,126.976883066,37.5687339805,마을버스,중구
