서비스명,세부종목,접수상태,유무료,장소명,자치구,경도,위도,예약URL,시작시간,종료시간
[서울 중구] 충무스포츠센터 대체육관(농구),농구장,접수중,유료,충무스포츠센터 농구장,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=08&amp;place=4,,
선우공원테니스장 B코트 평일주간,테니스장,접수중,유료,선우공원,관악구,126.91341,37.46765,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260622095724285258,06:00,18:00
선우공원테니스장 B코트 평일야간,테니스장,예약마감,유료,선우공원,관악구,126.91341,37.46765,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260622181344976980,18:00,20:00
"선우공원테니스장 B코트 주말,공휴일",테니스장,예약마감,유료,선우공원,관악구,126.91341,37.46765,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260622182602317465,06:00,22:00
을지누리 스크린 파크골프장,골프장,접수중,유료(요금안내문의),을지누리 스크린파크골프장,중구,126.99104,37.56662,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260223184514211551,09:00,17:45
함께누리 스크린 파크골프장,골프장,접수중,유료(요금안내문의),함께누리 스크린 파크골프장,중구,127.02279,37.5651,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260225144236585362,10:00,17:00
훈련원공원종합체육관 종합체육관(배구장),배구장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260601&amp;center=JUNGGU05&amp;type=&amp;part=03&amp;place=2,,
무학봉체육관(배구장),배구장,접수중,유료,무학봉체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU03&amp;type=&amp;part=02&amp;place=7,,
[서울 중구] 충무스포츠센터 대체육관(배구),배구장,접수중,유료,충무스포츠센터 배구장 중구,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=08&amp;place=4,,
[서울 중구] 충무스포츠센터 대체육관(배드민턴),배드민턴장,접수중,유료,충무스포츠센터 배드민턴장(중구),중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=08&amp;place=4,,
훈련원공원종합체육관 종합체육관 지하2층 (배드민턴),배드민턴장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260601&amp;center=JUNGGU05&amp;type=&amp;part=03&amp;place=2,,
무학봉체육관(배드민턴장),배드민턴장,접수중,유료,무학봉체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU03&amp;type=&amp;part=02&amp;place=7,,
[서울 중구] 충무스포츠센터 대체육관(족구),족구장,접수중,유료,충무스포츠센터 족구장,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=08&amp;place=4,,
손기정문화체육센터 축구장,축구장,접수중,유료,손기정문화체육센터 축구장,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260701&amp;center=JUNGGU06&amp;type=&amp;part=08&amp;place=7,,
손기정문화체육센터 테니스장,테니스장,접수중,유료,손기정문화체육센터 테니스장,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260701&amp;center=JUNGGU06&amp;type=&amp;part=09&amp;place=9,,
